DATE,MKTRF,SMB,MGMT,PERF,RF
19960223,0.000800,0.0004668452,0.00019018,0.0033475347,0.00020
19960226,-0.010500,0.0103734024,-0.001075085,0.0021413276,0.00020
19960227,-0.004400,0.0041698005,0.0053077829,0.0013821787,0.00020
19960228,-0.001900,0.0055603872,-0.00127086,-0.00218921,0.00020
19960229,-0.006000,0.0028108418,0.0030615461,0.0003009942,0.00020
19960301,0.002500,-0.00590457,0.0145562031,-0.007376334,0.00020
19960304,0.009200,-0.005729451,0.0043327783,-0.003447033,0.00020
19960305,0.006800,-0.005113011,-0.006497834,0.0013739243,0.00020
19960306,-0.003800,0.001028961,0.0043491867,-0.006185745,0.00020
19960307,0.001800,-0.000836317,-0.000099079,0.0020471499,0.00020
19960308,-0.029100,0.0063129913,-0.002222513,0.0024495773,0.00020
19960311,0.009100,-0.001409102,-0.005252661,0.0067870212,0.00020
19960312,-0.004900,0.0038489083,0.0011794023,0.0005368682,0.00020
19960313,0.004300,0.0011374818,-0.007304429,-0.001123595,0.00020
19960314,0.004100,-0.002786401,-0.001325792,-0.000513214,0.00020
19960315,0.001700,0.0034065292,-0.00728554,0.0095325636,0.00020
19960318,0.014800,-0.009380326,-0.001459193,0.0050190978,0.00020
19960319,-0.001500,0.0007476254,0.0014596068,-0.001019981,0.00020
19960320,-0.002900,0.0026571971,0.00714312,-0.00394344,0.00020
19960321,-0.000900,0.0035774885,0.0009878089,-0.001712426,0.00020
19960322,0.002000,-0.001532391,-0.000429662,-0.000221104,0.00020
19960325,-0.003000,-0.005484194,0.0110787827,-0.0031593,0.00020
19960326,0.002900,-0.002167807,0.0037684133,0.0015450939,0.00020
19960327,-0.003400,0.0071730563,-0.008969287,0.0004059086,0.00020
19960328,0.000400,0.0002689812,-0.000321467,0.0021844662,0.00020
19960329,-0.002100,0.0136134722,-0.004980969,-0.003724834,0.00020
19960401,0.010500,-0.007887474,0.0052762557,0.0035736201,0.00020
19960402,0.002100,0.0000984184,0.0039908251,0.0061873648,0.00020
19960403,0.001300,0.0014197507,-0.002184426,0.0010516392,0.00020
19960404,0.000400,0.0011571151,0.0018354095,-0.000977644,0.00020
19960408,-0.016800,0.0080029579,-0.004362335,0.0036446792,0.00020
19960409,-0.001400,0.00399222,-0.006612357,-0.004092805,0.00020
19960410,-0.011800,0.0086881164,-0.009420067,0.0010947267,0.00020
19960411,-0.005400,0.0030270762,0.0036856447,0.0035052736,0.00020
19960412,0.008300,-0.007087812,0.0020748083,-0.002427566,0.00020
19960415,0.008100,-0.002369958,-0.002523336,0.0006858968,0.00020
19960416,0.004900,0.0021623127,-0.00914535,0.0063771273,0.00020
19960417,-0.004900,0.0027051613,-0.000292378,-0.004371284,0.00020
19960418,0.004700,0.0048173923,-0.005811816,0.0008382908,0.00020
19960419,0.002200,0.0012356444,-0.000694457,0.0014414083,0.00020
19960422,0.005800,0.0006418284,-0.004898505,0.0054441906,0.00020
19960423,0.006000,-0.000280229,-0.011623114,0.0037982793,0.00020
19960424,-0.000200,0.0050111792,-0.011953705,0.0037005584,0.00020
19960425,0.004500,0.0009748383,-0.003743888,0.0021728383,0.00020
19960426,0.001400,0.0008210239,-0.000937533,-0.001368341,0.00020
19960429,0.000800,-0.000698033,0.0011916022,-0.001505251,0.00020
19960430,0.000300,0.0008072004,-0.002550113,0.0000380812,0.00020
19960501,0.002200,0.006311143,-0.003717373,-0.000094588,0.00020
19960502,-0.016100,0.0068593627,0.0028663437,0.0033659125,0.00020
19960503,-0.001100,0.0042492326,-0.003849578,0.0004556119,0.00020
19960506,-0.001600,0.0034975139,-0.002127581,0.0018243304,0.00020
19960507,-0.004100,0.003696178,0.0007574101,0.0021706894,0.00020
19960508,0.006100,-0.009169855,0.011758953,-0.001194099,0.00020
19960509,0.002500,0.0034541435,-0.005477114,-0.001855898,0.00020
19960510,0.010900,-0.002625422,-0.005458437,0.0001513086,0.00020
19960513,0.013100,-0.006054615,-0.007886484,0.0098301366,0.00020
19960514,0.007100,-0.000179223,-0.004850014,0.0016629639,0.00020
19960515,-0.000200,0.0021146788,0.001120107,0.0014361798,0.00020
19960516,0.000400,0.000618025,-0.002431921,0.001469864,0.00020
19960517,0.005400,0.0018143992,0.0043042701,-0.000542924,0.00020
19960520,0.005800,-0.00368506,-0.000686773,0.0022219355,0.00020
19960521,-0.000600,0.000323316,0.0016200677,0.0005452323,0.00020
19960522,0.006200,-0.006158314,0.0033670855,-0.004666773,0.00020
19960523,-0.002600,0.0050785168,-0.000934527,0.0040425498,0.00020
19960524,0.002500,-0.000960536,0.0027385088,-0.001874592,0.00020
19960528,-0.008800,0.0012511342,0.00321722,-0.000413097,0.00020
19960529,-0.006800,-0.00029626,0.0048140776,-0.002773449,0.00020
19960530,0.005100,-0.000671039,-0.001833392,0.0016636282,0.00020
19960531,-0.001800,0.0071853521,-0.005476106,0.0031949307,0.00020
19960603,-0.002500,0.0037952873,0.0031620557,0.001352107,0.00020
19960604,0.006800,-0.004551194,-0.000929531,-0.000392724,0.00020
19960605,0.007200,-0.00312341,0.0001613907,0.0019819947,0.00020
19960606,-0.007700,-0.0001361,0.0088903189,-0.00374425,0.00020
19960607,-0.002100,-0.004916554,0.0000826202,0.0029430413,0.00020
19960610,-0.001200,0.002242463,-0.000539793,-0.001816586,0.00020
19960611,-0.001100,0.0031395551,-0.000438179,-0.001223529,0.00020
19960612,-0.000800,0.0012812243,-0.00088778,0.0030820852,0.00020
19960613,-0.002900,-0.001765171,0.006805116,-0.001869585,0.00020
19960614,-0.004400,0.0012237099,0.0060844711,-0.007219263,0.00020
19960617,-0.002100,-0.002304868,0.0056870472,-0.002609486,0.00020
19960618,-0.007700,-0.004638289,0.017346502,-0.010866557,0.00020
19960619,-0.001200,-0.002622841,-0.000702361,0.0015227103,0.00020
19960620,-0.003100,-0.007038401,0.0062675607,0.0010710278,0.00020
19960621,0.005800,-0.003085779,-0.000218437,0.0051381255,0.00020
19960624,0.003200,0.0027527848,-0.002030517,0.0049850036,0.00020
19960625,-0.002600,-0.003229517,0.0069648863,0.0038476975,0.00020
19960626,-0.008100,-0.001903607,0.0125338362,-0.007436107,0.00020
19960627,0.006100,-0.001778098,-0.00960505,0.0043035545,0.00020
19960628,0.007300,0.0078076449,-0.013143937,0.0063140782,0.00020
19960701,0.007500,-0.001225099,-0.001863504,-0.001413812,0.00020
19960702,-0.002900,0.0001606125,0.0033615186,0.0021588131,0.00020
19960703,-0.003500,-0.001540408,0.007906969,-0.001653778,0.00020
19960705,-0.020500,0.0087365062,0.0038433957,-0.001859123,0.00020
19960708,-0.008600,0.0042911818,0.0030897057,0.0054423939,0.00020
19960709,0.003200,-0.003489202,-0.001185464,-0.000862146,0.00020
19960710,-0.002100,-0.006908383,0.0097137896,0.0009555334,0.00020
19960711,-0.018700,-0.003677955,0.0194175837,-0.002073825,0.00020
19960712,0.000000,-0.003357358,0.0009299437,-0.002559567,0.00020
19960715,-0.026900,0.0014211747,0.0219989361,-0.002897392,0.00020
19960716,-0.005300,-0.008855255,0.0021919639,0.0035453486,0.00020
19960717,0.014200,0.0074118697,-0.025009733,0.0016495403,0.00020
19960718,0.016000,0.0005198787,-0.00519734,0.0062358487,0.00020
19960719,-0.007900,0.0053082094,0.0100808348,0.0033473973,0.00020
19960722,-0.009400,0.0024019774,0.011794195,0.005524004,0.00020
19960723,-0.014600,-0.005096264,0.0203200158,-0.009224764,0.00020
19960724,-0.002600,-0.011640439,0.0028438742,0.0060766002,0.00020
19960725,0.009200,0.0028042051,-0.010812561,-0.000965767,0.00020
19960726,0.009000,-0.000936005,-0.014213912,0.0036730633,0.00020
19960729,-0.007900,0.0043420373,0.0068859145,-0.003021271,0.00020
19960730,0.004800,-0.005081687,-0.001969034,0.0019062689,0.00020
19960731,0.007200,-0.001289764,0.0002372965,0.0015355455,0.00020
19960801,0.015700,-0.00729069,-0.005458874,0.0028846652,0.00020
19960802,0.018500,-0.009298388,-0.016020153,0.0019548797,0.00020
19960805,-0.003000,0.0034921502,0.0045974192,-0.001956967,0.00020
19960806,0.003100,0.0003028926,-0.006823096,-0.000274688,0.00020
19960807,0.003900,0.0032075496,-0.011160075,0.0014025217,0.00020
19960808,-0.001700,-0.000244169,0.002231457,-0.001742593,0.00020
19960809,-0.002800,0.0005417441,-0.002928459,-0.004611166,0.00020
19960812,0.005400,-0.005570035,0.0020585499,0.0027398565,0.00020
19960813,-0.007900,0.0042409883,0.0074317373,-2.339644E-6,0.00020
19960814,0.003900,0.0001730948,-0.004276426,-0.00098956,0.00020
19960815,0.000800,0.0012146855,0.0016065905,-0.000362475,0.00020
19960816,0.004100,-0.001347653,0.0060023359,-0.001421493,0.00020
19960819,0.000700,0.0019223528,0.0020404244,-0.001361294,0.00020
19960820,-0.001600,-0.000565401,0.0046127981,-0.00267881,0.00020
19960821,-0.000900,0.0020211751,-0.002699666,-0.000324945,0.00020
19960822,0.008500,0.000040406,-0.010819102,0.0023190717,0.00020
19960823,-0.003700,0.004044401,-0.001667766,0.0000314008,0.00020
19960826,-0.003700,0.0017038952,0.0026534009,-0.002996936,0.00020
19960827,0.004100,0.0042844152,-0.005908623,0.000486549,0.00020
19960828,0.000000,0.0056103202,-0.004557575,0.0025672029,0.00020
19960829,-0.009500,0.0089012231,0.0008106146,-0.001449319,0.00020
19960830,-0.006300,0.0049643457,0.00006981,-0.001520797,0.00020
19960903,0.001500,-0.0015649,0.0038849017,0.0053811399,0.00020
19960904,0.001500,0.0042686776,0.0014163571,0.0031584827,0.00020
19960905,-0.009800,0.0033793975,0.0114693159,-0.001040324,0.00020
19960906,0.009900,-0.002967862,-0.003680481,-0.000365769,0.00020
19960909,0.009800,-0.005917244,0.0019617313,0.0026622187,0.00020
19960910,0.000400,0.0013269814,-0.000640819,0.0038224215,0.00020
19960911,0.004200,-0.004014297,0.0010167267,-0.002532878,0.00020
19960912,0.006200,-0.00021356,-0.006757606,0.0004575644,0.00020
19960913,0.012900,-0.00482481,-0.008703966,0.0031281225,0.00020
19960916,0.004800,-0.002136199,-0.001588866,0.0004813087,0.00020
19960917,-0.001200,0.0026195353,-0.004506533,0.0059646044,0.00020
19960918,-0.001800,0.0011459601,0.0008842976,0.0004538773,0.00020
19960919,0.001800,-0.00281275,-0.004834864,0.0025096697,0.00020
19960920,0.005000,-0.00229982,-0.002637645,-0.000848947,0.00020
19960923,-0.002000,-0.001215314,0.0021106268,0.0031366052,0.00020
19960924,-0.000300,0.0037000893,-0.003583734,0.0010062101,0.00020
19960925,0.001500,0.001316581,-0.004394593,-0.003651529,0.00020
19960926,0.002000,-0.000261904,-0.004178819,-0.004218224,0.00020
19960927,0.000700,0.0027650237,0.0001936921,-0.000981382,0.00020
19960930,0.002000,-0.001031631,0.000864422,-0.000259523,0.00020
19961001,0.000200,-0.003646981,0.0087461873,-0.000024855,0.00020
19961002,0.007300,-0.000396842,0.0007607189,0.0007339403,0.00020
19961003,-0.001800,0.0019807107,0.0012288892,0.0005228788,0.00020
19961004,0.011000,-0.006723097,0.0008506049,-0.000755662,0.00020
19961007,0.001800,-0.004718017,0.0005473565,0.0017232354,0.00020
19961008,-0.004400,0.001668998,0.0032362417,-0.000296076,0.00020
19961009,-0.005100,0.0021421713,-0.001918487,0.0022516532,0.00020
19961010,-0.002400,0.0060491986,0.0021957364,0.0011059062,0.00020
19961011,0.006900,-0.004260984,0.0011305652,0.0004295461,0.00020
19961014,0.004400,-0.00082027,-0.00216358,0.0035645684,0.00020
19961015,-0.001700,0.000622891,0.0003421661,0.0059857618,0.00020
19961016,0.000900,-0.003215687,0.0085378909,0.0008648647,0.00020
19961017,0.002400,-0.003425203,0.0075622633,0.0051580562,0.00020
19961018,0.003500,-0.001923972,0.0026674203,-0.001179696,0.00020
19961021,-0.002700,-0.003937787,0.0064237482,-0.002686178,0.00020
19961022,-0.006700,-0.003748897,0.0066845587,0.0005978303,0.00020
19961023,-0.000300,0.0014580309,-0.00102815,0.0021525452,0.00020
19961024,-0.004900,0.0077291245,0.0003450156,-0.002166108,0.00020
19961025,-0.002100,-0.000091525,0.0042090063,-0.006996428,0.00020
19961028,-0.006200,-0.000449144,0.0081550796,-0.002244555,0.00020
19961029,0.002500,-0.008789222,0.0103377902,0.0019224265,0.00020
19961030,-0.000300,0.0008511627,-0.00317038,-0.002148806,0.00020
19961031,0.006200,0.0025002452,-0.006470122,0.0011878171,0.00020
19961101,-0.001800,-0.003762446,0.002256075,-0.000317105,0.00020
19961104,0.002700,-0.002930603,0.007536411,-0.000610571,0.00020
19961105,0.008600,-0.008380679,-0.002092729,0.0011752255,0.00020
19961106,0.013900,-0.002854286,-0.003470717,0.0064309465,0.00020
19961107,0.004100,-0.003568116,-0.004413867,0.0072573381,0.00020
19961108,0.003400,-0.00240699,0.0000864198,-0.003107485,0.00020
19961111,0.001600,0.0004895251,-0.00199359,-0.000166321,0.00020
19961112,-0.002300,-0.002041545,0.0046789671,-0.004497411,0.00020
19961113,0.001900,-0.000185152,0.0003185053,-0.000130024,0.00020
19961114,0.006000,-0.000498889,-0.000742377,-0.003419895,0.00020
19961115,0.000600,-0.004556015,0.006299837,-0.001247375,0.00020
19961118,-0.001700,0.0010096438,0.0067726379,0.0007093247,0.00020
19961119,0.005400,-0.001127632,0.0025092857,0.0035952475,0.00020
19961120,0.002000,-0.003455433,-0.001236241,0.0016869962,0.00020
19961121,-0.002000,0.0006334408,0.0018924363,-0.004933652,0.00020
19961122,0.007500,-0.00201722,-0.007833767,-0.002623861,0.00020
19961125,0.009900,-0.006093363,0.0012739762,0.0068580541,0.00020
19961126,-0.001900,-0.000790271,0.0000274452,-0.001559642,0.00020
19961127,0.000200,0.0035954568,-0.002536925,-0.000633477,0.00020
19961129,0.002700,-0.000231761,-0.002865647,-0.002185528,0.00020
19961202,0.000600,0.0030308238,-0.004709647,-0.000339213,0.00020
19961203,-0.007400,0.0139592341,-0.002885117,-0.001992242,0.00020
19961204,-0.003300,0.0071495918,-0.000368103,-0.001375064,0.00020
19961205,-0.000800,0.0031720133,-0.000825319,-0.004436783,0.00020
19961206,-0.007400,-0.004369498,0.0005095405,-0.003016099,0.00020
19961209,0.013800,0.0011551578,-0.005204561,0.009079501,0.00020
19961210,-0.002900,0.0068281181,0.0071147001,-0.004905572,0.00020
19961211,-0.009100,0.004943278,0.0002752223,0.0040741389,0.00020
19961212,-0.013000,0.0093316247,-0.000044393,-0.002741832,0.00020
19961213,-0.003000,-0.005964846,0.0066031029,-0.002744889,0.00020
19961216,-0.011200,0.0021907136,0.012525352,-0.001574211,0.00020
19961217,0.004700,-0.007562348,0.0005955642,0.0003995577,0.00020
19961218,0.008300,0.0033320128,-0.007355482,0.0054492569,0.00020
19961219,0.015600,-0.009865607,0.0042160177,0.0061587454,0.00020
19961220,0.002900,-0.000097044,0.0078102405,0.0020385046,0.00020
19961223,-0.003700,-0.001124791,0.0044922162,-0.000953298,0.00020
19961224,0.004800,-0.003758391,0.0019998408,-0.000822849,0.00020
19961226,0.005800,-0.00453874,-0.001023418,-0.0012714,0.00020
19961227,0.001700,0.0037632142,0.0025387865,0.0011688521,0.00020
